pile_length_m,0.3_circular,0.3_rectangular,0.35_circular,0.35_rectangular,0.4_circular,0.4_rectangular
7.0,173.94445006574614,221.4729524109189,246.7048408808487,314.11435928709244,350.18234990561405,445.8660157681135
7.1,190.3243222340406,242.32845339329833,267.95948229204413,341.1766092409922,388.46462157322975,494.6085179176166
7.2,199.84625887733978,254.45215967000965,276.72129202109284,352.3324918714623,391.5215905558793,498.50077171335465
7.3,212.51903044962398,270.58763357723757,300.58490659651596,382.7165896292094,411.1797981519049,523.5303790032275
7.4,239.19127118762069,304.5477852315509,336.8526385476099,428.8941001471969,447.74525467435876,570.08696421891
7.5,259.8290959876893,330.8246798843143,356.4176925004687,453.8051005348541,473.25902248381743,602.5721023291039
7.6,256.39806109853123,326.45615058407236,339.874779282787,432.74200924097954,444.0617778589632,565.3970158754331
7.7,253.48913077914165,322.75238546854644,335.36711248446517,427.00266961886655,436.80382025996823,556.1558972463819
7.8,263.86321324841816,335.96107750877326,346.92322578233666,441.71637005315637,457.3579633886184,582.3262450859258
7.9,301.2650437187403,383.58256710906767,389.0540728322276,495.35903057026627,509.3182521154978,648.4841394488453
8.0,296.6024026657422,377.645908137485,393.1884860519724,500.6231289759213,520.0131722793299,662.1013347292218
8.1,293.59038575496794,373.81088909727623,391.7864320957517,498.8379784350088,512.0068134862917,651.9073221045875
8.2,301.0927112822577,383.3631466360977,399.88436322306063,509.14858457684016,505.8138425486901,644.0221866074376
8.3,306.99106668552184,390.87316598443584,396.9811984477713,505.4521603800596,495.07381326926225,630.3475566172564
8.4,306.81027591998225,390.6429760324279,392.2414365064544,499.4173080437443,483.67679885075876,615.836427167701
8.5,311.99741000930106,397.2474402787924,393.1943522411351,500.63059803994014,487.0304955868379,620.1064864731263
8.6,303.81821208252165,386.83336203420106,384.9036558710534,490.0745555681598,484.83827654251166,617.3152664951685
8.7,290.91017105031983,370.3983337469375,373.31311300892156,475.3170180511456,464.50965127742046,591.4320569175521
8.8,277.51156631867855,353.3387003583362,360.14193386077386,458.5469519089327,446.2233348619206,568.149195729798
8.9,273.6792274032106,348.4592149023349,350.0778907826377,445.7330142819318,438.84222339545676,558.751272726598
